,FUNCION,PRINCIPAL,CORCHETEABI,CORCHETECERR,IMPRIMIR,ID,RETORNAR,DETENER,LLAVEABI,LLAVECERR,TIPOENTERO,TIPOCADENA,TIPODECIMAL,TIPOBOOLEANO,TIPOVACIO,SI,Y,O,SINO,ENTONCES,MIENTRAS,PARA,SUMA,RESTA,MULTIPLICACION,DIVISION,RESIDUO,MENORQUE,MAYORQUE,MENORIGUALQUE,MAYORIGUALQUE,IGUAL,IGUALBOOLEANO,DIFERENTEDE,AUMENTAR,DISMINUIR,CONCATENAR,NENTERO,NDECIMAL,NCADENA,NBOOLEANO,COMENTARIO,COMA,VARIABLE,PUNTOYCOMA,PROGRAMA,$
NETCODE,NETCODE -> MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NETCODE -> MAIN,
MASFUNCIONES,MASFUNCIONES -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASFUNCIONES -> e,
FUNC,FUNC -> FUNCION ID CORCHETEABI PARAMETROS CORCHETECERR OPDATO LLAVEABI INS LLAVECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN -> PROGRAMA PRINCIPAL TIPOENTERO CORCHETEABI CORCHETECERR LLAVEABI INS LLAVECERR,
OPDATO,,,,,,,,,,,OPDATO -> TIPODATO,OPDATO -> TIPODATO,OPDATO -> TIPODATO,OPDATO -> TIPODATO,OPDATO -> TIPOVACIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMETROS,,,PARAMETROS -> e,PARAMETROS -> e,,PARAMETROS -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARAMETROS -> e,PARAMETROS -> e,PARAMETROS -> e,PARAMETROS -> e,,,PARAMETROS -> e,,,
MASPARAMETROS,,,MASPARAMETROS -> e,MASPARAMETROS -> e,,MASPARAMETROS -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASPARAMETROS -> e,MASPARAMETROS -> e,MASPARAMETROS -> e,MASPARAMETROS -> e,,MASPARAMETROS -> COMA PARAMETROS,MASPARAMETROS -> e,,,
CONDICIONAL,,,,,,,,,,,,,,,,CONDICIONAL -> SI CORCHETEABI EXPRESION CORCHETECERR LLAVEABI INS LLAVECERR POSIBILIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSIBILIDAD,,,,,POSIBILIDAD -> e,POSIBILIDAD -> e,POSIBILIDAD -> e,POSIBILIDAD -> e,,POSIBILIDAD -> e,,,,,,POSIBILIDAD -> e,,,POSIBILIDAD -> SINO CORCHETEABI EXPRESION CORCHETECERR LLAVEABI INS LLAVECERR POSIBILIDAD,POSIBILIDAD -> ENTONCES LLAVEABI INS LLAVECERR,POSIBILIDAD -> e,POSIBILIDAD -> e,,,,,,,,,,,,,,,,,,,,,,POSIBILIDAD -> e,,,
BUCLEWHILE,,,,,,,,,,,,,,,,,,,,,BUCLEWHILE -> MIENTRAS CORCHETEABI EXPRESION CORCHETECERR LLAVEABI INS LLAVECERR,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCLEFOR,,,,,,,,,,,,,,,,,,,,,,BUCLEFOR -> PARA CORCHETEABI ASIG PUNTOYCOMA EXPRESION PUNTOYCOMA ID DERIVA2 CORCHETECERR LLAVEABI INS LLAVECERR,,,,,,,,,,,,,,,,,,,,,,,,,
INS,,,,,INS -> e,INS -> e,INS -> e,INS -> e,,INS -> e,,,,,,INS -> e,,,,,INS -> e,INS -> e,,,,,,,,,,,,,,,,,,,,,,INS -> e,,,
DERIVA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DERIVA2 -> IGUAL EXPRESION,,,DERIVA2 -> UNARIOS,DERIVA2 -> UNARIOS,,,,,,,,,,,
INSTRUCCION,,,,,INSTRUCCION -> e,INSTRUCCION -> e,INSTRUCCION -> e,INSTRUCCION -> e,,INSTRUCCION -> e,,,,,,INSTRUCCION -> e,,,,,INSTRUCCION -> e,INSTRUCCION -> e,,,,,,,,,,,,,,,,,,,,,,INSTRUCCION -> e,,,
MASINSTRUCCION,,,,,MASINSTRUCCION -> e,MASINSTRUCCION -> e,MASINSTRUCCION -> e,MASINSTRUCCION -> e,,MASINSTRUCCION -> e,,,,,,MASINSTRUCCION -> e,,,,,MASINSTRUCCION -> e,MASINSTRUCCION -> e,,,,,,,,,,,,,,,,,,,,,,MASINSTRUCCION -> e,,,
IMP,,,,,IMP -> IMPRIMIR CORCHETEABI CMDS CORCHETECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMDS,,,CMDS -> e,CMDS -> e,,CMDS -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMDS -> e,CMDS -> e,CMDS -> e,CMDS -> e,,,CMDS -> e,,,
MASCOMANDOS,,,MASCOMANDOS -> e,MASCOMANDOS -> e,,MASCOMANDOS -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MASCOMANDOS -> CONCATENAR EXPRESION MASCOMANDOS,MASCOMANDOS -> e,MASCOMANDOS -> e,MASCOMANDOS -> e,MASCOMANDOS -> e,,,MASCOMANDOS -> e,,,
ASIG,,,,,,ASIG -> ID OG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASIG -> VARIABLE ID TIPODATO OPC,,,
OG,,,OG -> CORCHETEABI PAR CORCHETECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OG -> IGUAL EXPRESION,,,,,,,,,,,,,,,
OPC,,,,,OPC -> e,OPC -> e,OPC -> e,OPC -> e,,OPC -> e,,,,,,OPC -> e,,,,,OPC -> e,OPC -> e,,,,,,,,,,OPC -> IGUAL EXPRESION,,,,,,,,,,,,OPC -> e,OPC -> e,,
EXPRESION,,,EXPRESION -> CORCHETEABI EXPRESION CORCHETECERR MASEXPRESION,,,EXPRESION -> ID OPCION MASEXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRESION -> DATO MASEXPRESION,EXPRESION -> DATO MASEXPRESION,EXPRESION -> DATO MASEXPRESION,EXPRESION -> DATO MASEXPRESION,,,,,,
MASEXPRESION,,,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,,MASEXPRESION -> e,,,,,,MASEXPRESION -> e,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,,,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,,MASEXPRESION -> OPERACION EXPRESION,MASEXPRESION -> OPERACION EXPRESION,,,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,,MASEXPRESION -> e,MASEXPRESION -> e,MASEXPRESION -> e,,
OPCION,,,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,,OPCION -> e,,,,,,OPCION -> e,OPCION -> e,OPCION -> e,,,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,,OPCION -> e,OPCION -> e,,,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,OPCION -> e,,OPCION -> e,OPCION -> e,OPCION -> e,,
PAR,,,PAR -> e,PAR -> e,,PAR -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR -> e,PAR -> e,PAR -> e,PAR -> e,,,PAR -> e,,,
RESTO_PARAMETROS,,,RESTO_PARAMETROS -> e,RESTO_PARAMETROS -> e,,RESTO_PARAMETROS -> e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTO_PARAMETROS -> e,RESTO_PARAMETROS -> e,RESTO_PARAMETROS -> e,RESTO_PARAMETROS -> e,,RESTO_PARAMETROS -> COMA TF RESTO_PARAMETROS,RESTO_PARAMETROS -> e,,,
TF,,,,,,TF -> ID OPCION MASEXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TF -> DATO MASEXPRESION,TF -> DATO MASEXPRESION,TF -> DATO MASEXPRESION,TF -> DATO MASEXPRESION,,,,,,
OPERACION,,,,,,,,,,,,,,,,,OPERACION -> Y,OPERACION -> O,,,,,OPERACION -> SUMA,OPERACION -> RESTA,OPERACION -> MULTIPLICACION,OPERACION -> DIVISION,OPERACION -> RESIDUO,OPERACION -> MENORQUE,OPERACION -> MAYORQUE,OPERACION -> MENORIGUALQUE,OPERACION -> MAYORIGUALQUE,,OPERACION -> IGUALBOOLEANO,OPERACION -> DIFERENTEDE,,,,,,,,,,,,,
DATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATO -> NENTERO,DATO -> NDECIMAL,DATO -> NCADENA,DATO -> NBOOLEANO,,,,,,
TIPODATO,,,,,,,,,,,TIPODATO -> TIPOENTERO,TIPODATO -> TIPOCADENA,TIPODATO -> TIPODECIMAL,TIPODATO -> TIPOBOOLEANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNARIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNARIOS -> AUMENTAR,UNARIOS -> DISMINUIR,,,,,,,,,,,
