Nonterminal,'',ASIG,AUMENTAR,CMDS,COMA,CONCATENAR,CORCHETEABI,CORCHETECERR,DATO,DERIVA2,DETENER,DIFERENTEDE,DISMINUIR,DIVISION,ENTONCES,EXPRESION,FUNC,FUNCION,ID,IGUAL,IGUALBOOLEANO,IMP,IMPRIMIR,INS,INSTRUCCION,LLAVEABI,LLAVECERR,MAIN,MASCOMANDOS,MASEXPRESION,MASFUNCIONES,MASINSTRUCCION,MASPARAMETROS,MAYORIGUALQUE,MAYORQUE,MENORIGUALQUE,MENORQUE,MIENTRAS,MULTIPLICACION,NBOOLEANO,NCADENA,NDECIMAL,NENTERO,O,OPC,OPCION,OPDATO,OPERACION,PAR,PARA,PARAMETROS,POSIBILIDAD,PRINCIPAL,PROGRAMA,PUNTOYCOMA,RESIDUO,RESTA,RESTO_PARAMETROS,RETORNAR,SI,SINO,SUMA,TF,TIPOBOOLEANO,TIPOCADENA,TIPODATO,TIPODECIMAL,TIPOENTERO,TIPOVACIO,UNARIOS,VARIABLE,Y
ASIG,,,,,,,,,,,,,,,,,,,ID | IGUAL | EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE | ID | TIPODATO | OPC,
BUCLEFOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARA | CORCHETEABI | ASIG | PUNTOYCOMA | EXPRESION | PUNTOYCOMA | ID | DERIVA2 | CORCHETECERR | LLAVEABI | INS | LLAVECERR,,,,,,,,,,,,,,,,,,,,,,
BUCLEWHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIENTRAS | CORCHETEABI | EXPRESION | CORCHETECERR | LLAVEABI | INS | LLAVECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMDS,'',,,,,,,,,,,,,,,EXPRESION | MASCOMANDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SI | CORCHETEABI | EXPRESION | CORCHETECERR | LLAVEABI | INS | LLAVECERR | POSIBILIDAD,,,,,,,,,,,,
DATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NBOOLEANO,NCADENA,NDECIMAL,NENTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERIVA2,,,,,,,,,,,,,,,,,,,,IGUAL | EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNARIOS,,
EXPRESION,,,,,,,CORCHETEABI | EXPRESION | CORCHETECERR | MASEXPRESION,,DATO | MASEXPRESION,,,,,,,,,,ID | OPCION | MASEXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNC,,,,,,,,,,,,,,,,,,FUNCION | ID | CORCHETEABI | PARAMETROS | CORCHETECERR | OPDATO | LLAVEABI | INS | LLAVECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,IMPRIMIR | CORCHETEABI | CMDS | CORCHETECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS,'',,,,,,,,,,,,,,,,,,,,,,,,INSTRUCCION | MASINSTRUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTRUCCION,,ASIG,,,,,,,,,DETENER,,,,,,,,,,,IMP,,,,,,,,,,,,,,,,BUCLEWHILE,,,,,,,,,,,,BUCLEFOR,,,,,,,,,RETORNAR | EXPRESION,CONDICIONAL,,,,,,,,,,,,
MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAMA | PRINCIPAL | TIPOENTERO | CORCHETEABI | CORCHETECERR | LLAVEABI | INS | LLAVECERR,,,,,,,,,,,,,,,,,,
MASCOMANDOS,'',,,,,CONCATENAR | EXPRESION | MASCOMANDOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASEXPRESION,'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERACION | EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,
MASFUNCIONES,'',,,,,,,,,,,,,,,,FUNC | MASFUNCIONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASINSTRUCCION,'',,,,,,,,,,,,,,,,,,,,,,,,INSTRUCCION | MASINSTRUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASPARAMETROS,'',,,,COMA | PARAMETROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETCODE,,,,,,,,,,,,,,,,,FUNC | MASFUNCIONES | MAIN,,,,,,,,,,,MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC,'',,,,,,,,,,,,,,,,,,,IGUAL | EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPCION,'',,,,,,CORCHETEABI | PAR | CORCHETECERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPDATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPODATO,,,TIPOVACIO,,,
OPERACION,,,,,,,,,,,,DIFERENTEDE,,DIVISION,,,,,,,IGUALBOOLEANO,,,,,,,,,,,,,MAYORIGUALQUE,MAYORQUE,MENORIGUALQUE,MENORQUE,,MULTIPLICACION,,,,,O,,,,,,,,,,,,RESIDUO,RESTA,,,,,SUMA,,,,,,,,,,Y
PAR,'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TF | RESTO_PARAMETROS,,,,,,,,,
